title,url,created_at
Belarusian air defense downs S-300 missile fired from Ukraine — Defense Ministry,https://tass.com/world/1557381,2023-01-04 10:19:42.381555
"Russians attack Dnipropetrovsk region with missiles, drones, heavy artillery",https://www.ukrinform.net/rubric-ato/3645042-russians-attack-dnipropetrovsk-region-with-missiles-drones-heavy-artillery.html,2023-01-02 10:18:55.207418
Zelenskiy: Russia plans protracted drone campaign to 'exhaust' Ukraine,https://www.reuters.com/article/ukraine-crisis-zelenskiy-droenes/zelenskiy-russia-plans-protracted-drone-campaign-to-exhaust-ukraine-idUSKBN2TH0PN,2023-01-03 10:19:19.229783
Japan's 'anti-Russian course' makes treaty talks impossible - TASS,https://www.reuters.com/article/ukraine-crisis-russia-japan/japans-anti-russian-course-makes-treaty-talks-impossible-tass-idUSKBN2TI00D,2023-01-03 10:19:19.229428
Ukraine Army blows up Russian ammunition depot in occupied Luhansk region - StratCom,https://www.ukrinform.net/rubric-ato/3645534-ukraine-army-blows-up-russian-ammunition-depot-in-occupied-luhansk-region-stratcom.html,2023-01-03 10:19:16.982455
Ukraine's control of P66 highway could undermine Russia's defense of Kreminna in Luhansk region – UK intel,https://www.ukrinform.net/rubric-ato/3645074-ukraines-control-of-p66-highway-could-undermine-russias-defense-of-kreminna-in-luhansk-region-uk-intel.html,2023-01-02 10:18:55.206904
Putin plans to talk to Turkish President Erdogan on Wednesday - Interfax,https://www.reuters.com/article/ukraine-crisis-putin-erdogan/putin-plans-to-talk-to-turkish-president-erdogan-on-wednesday-interfax-idUSKBN2TI0YY,2023-01-04 10:19:39.993952
Enemy attacks water area of Mykolaiv region’s Ochakiv community three times over past day,https://www.ukrinform.net/rubric-ato/3645592-enemy-attacks-water-area-of-mykolaiv-regions-ochakiv-community-three-times-over-past-day.html,2023-01-03 10:19:16.981768
NATO Military Committee to consider situation in Ukraine on Jan 18-19,https://www.ukrinform.net/rubric-ato/3645446-nato-military-committee-to-consider-situation-in-ukraine-on-jan-1819.html,2023-01-03 10:19:16.982895
"In Makiivka, Russia suffered one of its worst military losses since invasion of Ukraine - NYT",https://www.ukrinform.net/rubric-ato/3646141-in-makiivka-russia-suffered-one-of-its-worst-military-losses-since-invasion-of-ukraine-nyt.html,2023-01-04 10:19:37.691230
Germany begins to produce RCH 155 howitzers for Ukraine,https://www.ukrinform.net/rubric-ato/3644955-germany-begins-to-produce-rch-155-howitzers-for-ukraine.html,2023-01-02 10:18:55.208820
"Russian military death toll in Ukraine rises to 108,910",https://www.ukrinform.net/rubric-ato/3646166-russian-military-death-toll-in-ukraine-rises-to-108910.html,2023-01-04 10:19:37.690873
"Russian military death toll in Ukraine exceeds 108,000",https://www.ukrinform.net/rubric-ato/3645599-russian-military-death-toll-in-ukraine-exceeds-108000.html,2023-01-03 10:19:16.981707
Russia's war on Ukraine latest: Russian anger grows over deadly strike,https://www.reuters.com/article/ukraine-crisis-snapshot-jan3/russias-war-on-ukraine-latest-russian-anger-grows-over-deadly-strike-idUSKBN2TH0SH,2023-01-03 22:19:30.598263
Zelensky thanks Czech Republic for supporting Ukraine during presidency of EU Council ,https://www.ukrinform.net/rubric-polytics/3644915-zelensky-thanks-czech-republic-for-supporting-ukraine-during-presidency-of-eu-council.html,2023-01-02 10:18:55.209930
President of Ukraine: Our sense of unity contrasts with fear that prevails in Russia,https://www.ukrinform.net/rubric-ato/3644933-president-of-ukraine-our-sense-of-unity-contrasts-with-fear-that-prevails-in-russia.html,2023-01-02 10:18:55.209707
Incident in Makiivka highlights unprofessional practices of Russian army – British intelligence,https://www.ukrinform.net/rubric-ato/3646248-incident-in-makiivka-highlights-unprofessional-practices-of-russian-army-british-intelligence.html,2023-01-04 10:19:37.690477
Russia risks causing new-year IT worker flight with remote working law,https://www.reuters.com/article/ukraine-crisis-russia-it/russia-risks-causing-new-year-it-worker-flight-with-remote-working-law-idUSKBN2TH03N,2023-01-02 22:19:09.820407
"Eastern Ukraine ice arena destroyed in Russian attack, hockey federation says",https://www.reuters.com/article/ukraine-crisis-druzhkivka-icerink/eastern-ukraine-ice-arena-destroyed-in-russian-attack-hockey-federation-says-idUSKBN2TH0SQ,2023-01-03 22:19:30.599033
Ukrainian forces destroy Russian ammunition depot in Svatove,https://www.ukrinform.net/rubric-ato/3645818-ukrainian-forces-destroy-russian-ammunition-depot-in-svatove.html,2023-01-03 22:19:26.357331
Bayer transfers EUR 1.3M for Ukrainian medical facilities’ restoration ,https://www.ukrinform.net/rubric-society/3645341-bayer-transfers-eur-13m-for-ukrainian-medical-facilities-restoration.html,2023-01-02 22:19:06.466861
"As Iranian-made drones keep attacking Ukraine, Tehran says not party to war",https://www.ukrinform.net/rubric-ato/3645539-as-iranianmade-drones-keep-attacking-ukraine-tehran-says-not-party-to-war.html,2023-01-03 10:19:16.982287
"Russians hit community in Mykolaiv region, damaging houses ",https://www.ukrinform.net/rubric-ato/3646178-russians-hit-community-in-mykolaiv-region-damaging-houses.html,2023-01-04 10:19:37.690815
Russia's war on Ukraine latest: Russia says 63 servicemen killed in Makiivka,https://www.reuters.com/article/ukraine-crisis-snapshot/russias-war-on-ukraine-latest-russia-says-63-servicemen-killed-in-makiivka-idUSKBN2RX0FQ,2023-01-03 10:19:19.229636
"Ukraine shells Donetsk's Makiivka, hitting military quarters -officials",https://www.reuters.com/article/ukraine-crisis-makiivka-shelling/ukraine-shells-donetsks-makiivka-hitting-military-quarters-officials-idUSKBN2TG0QG,2023-01-02 10:18:59.416288
Ukrainian forces strike five Russian military personnel concentration areas – General Staff,https://www.ukrinform.net/rubric-ato/3646150-ukrainian-forces-strike-five-russian-military-personnel-concentration-areas-general-staff.html,2023-01-04 10:19:37.691173
"Apartment blocks, kindergarten, infrastructure facility damaged in attack on Zaporizhzhia",https://www.ukrinform.net/rubric-ato/3646204-russians-strike-infrastructure-facility-in-zaporizhzhia-with-s300-missiles.html,2023-01-04 10:19:37.690678
Bild reporter covering Russian war injured in Ukraine,https://www.ukrinform.net/rubric-ato/3645544-bild-reporter-covering-russian-war-injured-in-ukraine.html,2023-01-03 10:19:16.982116
Two waves of suicide drones launched by Russians at Ukraine’s territory – Kim,https://www.ukrinform.net/rubric-ato/3644937-two-waves-of-suicide-drones-launched-by-russians-at-ukraines-territory-kim.html,2023-01-02 10:18:55.209432
